freq,fft
0,0.7291947307811432
187.5,19.612387115095014
375,15.81838242555346
562.5,8.63004454994841
750,15.576402652988126
937.5,10.944232600710519
1125,3.265861982148797
1312.5,12.62268396869047
1500,8.867528025002484
1687.5,11.54418641420631
1875,11.579637576237172
2062.5,12.981173951584298
2250,16.424582940566495
2437.5,15.03414985805854
2625,15.291260943514857
2812.5,12.711895915706053
3000,1.534359352516158
3187.5,12.620696765590196
3375,15.500886636452167
3562.5,15.829627960635872
3750,12.724487153825834
3937.5,13.0620034687282
4125,12.127120781454204
4312.5,11.707883354005215
4500,8.599842678736344
4687.5,7.49524897095677
4875,9.953322426464283
5062.5,9.926252037856706
5250,6.793184940762545
5437.5,8.32051137317057
5625,6.50190494637573
5812.5,5.069332186385348
6000,4.609094617920414
6187.5,3.775937142790651
6375,3.057827455471904
6562.5,2.69614064440292
6750,1.1708578513997292
6937.5,-1.5218580974438176
7125,-4.366673781971261
7312.5,-4.689630525470227
7500,-6.0884721735033445
7687.5,-8.5221903109306
7875,-11.418985744201224
8062.5,-11.866833097355375
8250,-13.616317012719822
8437.5,-19.413837938725262
8625,-19.378920532579304
8812.5,-17.243676642183065
9000,-19.161998391226597
9187.5,-21.692645944416874
9375,-24.61534135096455
9562.5,-19.110263682606853
9750,-20.155356061161424
9937.5,-24.393545230869922
10125,-25.665650136100695
10312.5,-27.45308269698956
10500,-29.530238776868423
10687.5,-36.24824698466351
10875,-27.32224625066944
11062.5,-23.14281194111953
11250,-23.367594915684503
11437.5,-26.52500952003998
11625,-35.81506547245282
11812.5,-30.00055964772267
12000,-30.476154015373965
12187.5,-27.65915921702912
12375,-26.677345150574098
12562.5,-31.271972759961283
12750,-35.222139291287554
12937.5,-33.99674932679918
13125,-32.704368397957765
13312.5,-42.75553111866493
13500,-31.807377577803877
13687.5,-37.114121527076705
13875,-35.871192767526345
14062.5,-27.876848521375305
14250,-27.77488255362186
14437.5,-27.13271706911759
14625,-31.111000193447996
14812.5,-45.91449009889412
15000,-32.40410917626028
15187.5,-27.826791405353887
15375,-29.00090613748108
15562.5,-27.57999877446696
15750,-30.799655317181877
15937.5,-26.239490313426096
16125,-24.750303788273342
16312.5,-24.424332318137058
16500,-23.603514499264374
16687.5,-24.46420988801914
16875,-28.107750104631613
17062.5,-32.16142100747519
17250,-32.166820813522875
17437.5,-33.70813398343126
17625,-34.88822459697877
17812.5,-33.95641829092211
18000,-35.63570064297646
18187.5,-39.90181092876816
18375,-46.5717185685996
18562.5,-37.95445237322433
18750,-37.42092457095276
18937.5,-37.25515260069131
19125,-39.05639772230327
19312.5,-47.25665644129379
19500,-50.038120809598105
19687.5,-38.790024358641986
19875,-39.073697968346025
20062.5,-39.15268039876102
20250,-39.410286424683704
20437.5,-39.26718525517165
20625,-38.97800574971712
20812.5,-42.73413489450942
21000,-45.17124531067711
21187.5,-45.09352209955176
21375,-36.79847730393818
21562.5,-33.481876031358254
21750,-32.264054194007315
21937.5,-34.53384320695188
22125,-32.51940823498566
22312.5,-32.260718952882016
22500,-29.861851819958375
22687.5,-18.976099880910642
22875,-21.377159850309443
23062.5,-26.095007833361894
23250,-28.366214556793548
23437.5,-28.030757235673505
23625,-27.909369967472024
23812.5,-30.45372649290821
24000,-29.43726336417098
