x,y
0,0.000650644302
1,0.0000860691071
2,0.000563979149
3,-0.000196814537
4,0.000227808952
5,-0.000778913498
6,-0.000211238861
7,-0.00098991394
8,0.000892400742
9,0.00872790813
10,0.0418570042
11,0.145530701
12,0.34942174
13,0.578206539
14,0.821668744
15,0.96600008
16,0.923704624
17,0.668473005
18,0.305929303
19,-0.0657944679
20,-0.277605891
21,-0.322210073
22,-0.236888647
23,-0.108921766
24,0.00904536247
25,0.0637190342
26,0.0906246901
27,0.0973088741
28,0.0992021561
29,0.111297369
30,0.112533689
31,0.107492208
32,0.0888948441
33,0.0682774782
34,0.0377912521
35,0.0384151936
36,0.0414971113
37,0.0531471968
38,0.0585515499
39,0.0577694178
40,0.0395971537
41,0.0189297199
42,-0.0172463655
43,-0.0650852919
44,-0.11960578
45,-0.160943389
46,-0.188845515
47,-0.194498897
48,-0.185644746
49,-0.153763056
50,-0.0993745327
51,-0.040320158
52,0.0165286064
53,0.0496611595
54,0.061372757
55,0.0564368963
56,0.03997159
57,0.00489151478
58,-0.016884923
59,-0.0482718945
60,-0.0852640867
61,-0.127439976
62,-0.156507373
63,-0.175577998
64,-0.17425859
65,-0.154361606
66,-0.124720335
67,-0.0854742527
68,-0.0484939814
69,-0.0164501667
70,0.00206696987
71,0.0141954422
72,0.0036290884
73,-0.0197354555
74,-0.0611459017
75,-0.097873807
76,-0.134521961
77,-0.153408289
78,-0.157191277
79,-0.135564804
80,-0.105119824
81,-0.0662177801
82,-0.0375144482
83,-0.019161582
84,-0.0107098818
85,-0.00901675224
86,-0.0210884809
87,-0.0449128151
88,-0.0744820833
89,-0.099809289
90,-0.110939741
91,-0.113892674
92,-0.101936221
93,-0.0899733305
94,-0.0786530972
95,-0.0780584812
96,-0.0745729208
97,-0.0757240057
98,-0.070081234
99,-0.0670181513
100,-0.058739543
101,-0.0552629232
102,-0.057726264
103,-0.0720666647
104,-0.0930371284
105,-0.117391229
106,-0.139968872
107,-0.151957512
108,-0.15903604
109,-0.154120326
110,-0.144749284
111,-0.131052971
112,-0.124518633
113,-0.115167379
114,-0.109117389
115,-0.0990617275
116,-0.0891526937
117,-0.0728602409
118,-0.0564633608
119,-0.0373171568
120,-0.0211418867
121,-0.00925266743
122,-0.00569701195
123,-0.0125850439
124,-0.024579525
125,-0.0397818089
126,-0.0530257225
127,-0.0692212582
128,-0.0784190893
129,-0.0847438574
130,-0.0816169977
131,-0.074064374
132,-0.0581487417
133,-0.0418303013
134,-0.020775795
135,-0.000798821449
136,0.016618371
137,0.0243301392
138,0.0254102945
139,0.0162475109
140,-0.000924944878
141,-0.0207585096
142,-0.0407067537
143,-0.0541189909
144,-0.0601959229
145,-0.0564420223
146,-0.0491350889
147,-0.0388823748
148,-0.0312964916
149,-0.0238815546
150,-0.0169913769
151,-0.00809586048
152,-0.000440001488
153,0.0069205761
154,0.0142396688
155,0.0216139555
156,0.0274705887
157,0.0310307741
158,0.0316681862
159,0.0288596153
160,0.025255084
161,0.0200632811
162,0.0173281431
163,0.0148242712
164,0.0142747164
165,0.0116592646
166,0.00947165489
167,0.00273454189
168,-0.00430774689
169,-0.0129185915
170,-0.0183799267
171,-0.0221863985
172,-0.0228185654
173,-0.0233662128
174,-0.0230668783
175,-0.023450613
176,-0.0256415606
177,-0.0298278332
178,-0.0331455469
179,-0.0341922045
180,-0.0340064764
181,-0.0329028368
182,-0.0331345797
183,-0.035754323
184,-0.042396903
185,-0.0506868362
186,-0.0596965551
187,-0.0669075251
188,-0.0699493885
189,-0.0668046474
190,-0.0593830347
191,-0.0488049984
192,-0.0362206697
193,-0.023698926
194,-0.0122914314
195,-0.00269150734
196,0.00579094887
197,0.0119436979
198,0.0174375772
199,0.0216467381
200,0.0266668797
201,0.0311261415
202,0.0365947485
203,0.0387979746
204,0.0390105247
205,0.0377485752
206,0.0382750034
207,0.0410544872
208,0.0490919352
209,0.0598604679
210,0.0730872154
211,0.0845109224
212,0.0901106596
213,0.0861531496
214,0.0727761984
215,0.0529419184
216,0.0327795744
217,0.0178399086
218,0.0102539063
219,0.00918197632
220,0.0113097429
221,0.0140770674
222,0.0169583559
223,0.0194451809
224,0.0197942257
225,0.0181281567
226,0.016012907
227,0.012737155
228,0.0119638443
229,0.0146222115
230,0.0220632553
231,0.0315726995
232,0.0399137735
233,0.0422689915
234,0.0407965183
235,0.0342340469
236,0.0253527164
237,0.017557025
238,0.0122139454
239,0.010447979
240,0.0136723518
241,0.0218560696
242,0.0338097811
243,0.0464535952
244,0.055298686
245,0.0586769581
246,0.0567896366
247,0.0523153543
248,0.0483256578
249,0.0432809585
250,0.0348474401
251,0.0234748396
252,0.0126307557
253,0.00489306596
254,0.00104588444
255,0
